latitude,longitude,name
-7.5151046,-37.6394034,AGUA BRANCA
-7.0928404,-38.1727215,AGUIAR
-7.0415212,-35.6285322,ALAGOA GRANDE
-7.0653703,-35.76695977336711,ALAGOA NOVA
-6.97063215,-35.51490901897793,ALAGOINHA
-7.7425491,-36.0609604,ALCANTIL
-6.9040175,-36.0089879,ALGODAO DE JANDAIRA
-7.4304246,-34.9106103,ALHANDRA
-7.56394725,-37.04652873235175,AMPARO
-6.7838525,-38.0761345,APARECIDA
-6.8519969,-35.3835602,ARACAGI
-6.8271895,-35.7605703,ARARA
-6.5321155,-35.7397595,ARARUNA
-6.9680243,-35.6994783,AREIA
-7.1233949,-36.9446216,AREIA DE BARAUNAS
-7.0501306,-35.9245244,AREIAL
-7.5462904,-35.7080002,AROEIRAS
-7.073396,-36.7274003,ASSUNCAO
-6.65659055,-34.994967358333334,BAIA DA TRAICAO
-6.7537682,-35.6338343,BANANEIRAS
-6.643394,-36.2531932,BARAUNA
-6.7218007,-36.0564638,BARRA DE SANTA ROSA
-7.5230865,-35.9988518,BARRA DE SANTANA
-7.7528088,-36.3170996,BARRA DE SAO MIGUEL
-7.1301631,-34.936532,BAYEUX
-6.6967586,-35.5369626,BELEM
-6.1880727,-37.5332267,BELEM DO BREJO DO CRUZ
-6.4532173,-38.5495418,BERNARDINO BATISTA
-7.4202462,-38.2156782,BOA VENTURA
-7.2620711,-36.2415161,BOA VISTA
-6.8156725,-38.6551841,BOM JESUS
-6.4458948,-37.9297662,BOM SUCESSO
-7.3143332,-38.5146677,BONITO DE SANTA FE
-7.487004,-36.130887,BOQUEIRAO
-6.8066718,-35.5990191,BORBOREMA
-6.32926065,-37.48746163303929,BREJO DO CRUZ
-6.3769367,-37.8243125,BREJO DOS SANTOS
-7.510234,-34.9154114,CAAPORA
-7.4899156,-36.2860501,CABACEIRAS
-6.97324,-34.8351609,CABEDELO
-6.9259193,-38.6742159,CACHOEIRA DOS INDIOS
-7.1288513,-37.1575194,CACIMBA DE AREIA
-6.6425101,-35.7929304,CACIMBA DE DENTRO
-7.2125451,-37.0593398,CACIMBAS
-6.6146866,-35.4681434,CAICARA
-6.8897849,-38.5570389,CAJAZEIRAS
-6.961442,-37.7993733,CAJAZEIRINHAS
-7.1027959,-35.3254676,CALDAS BRANDAO
-7.885031,-36.824191,CAMALAU
-7.2246743,-35.8771292,CAMPINA GRANDE
-6.4895383,-35.6364852,CAMPO DE SANTANA
-6.9174091,-35.1720326,CAPIM
-7.7273231,-36.4923357,CARAUBAS
-6.779538,-35.817875,CASSERENGUE
-7.120081,-37.60638,CATINGUEIRA
-6.340625,-37.746967,CATOLE DO ROCHA
-7.4199652,-36.0207132,CATURITE
-7.5565059,-38.5053706,CONCEICAO
-6.9092101,-37.5966375,CONDADO
-7.2600359,-34.9053524,CONDE
-7.80963435,-36.641233278035656,CONGO
-7.0175897,-37.9465062,COREMAS
-7.6272915,-36.606013,COXIXOLA
-7.139022,-35.085721,CRUZ DO ESPIRITO SANTO
-6.8647974,-36.3525993,CUBATI
-6.4855072,-36.1478606,CUITE
-6.912922,-35.250219,CUITE DE MAMANGUAPE
-6.8962776,-35.5228851,CUITEGI
-6.7174163,-35.266704,CURRAL DE CIMA
-7.5376473,-38.1979125,CURRAL VELHO
-6.64317595,-35.933835193092264,DAMIAO
-7.2889695,-37.0880761,DESTERRO
-7.4261827,-38.2646879,DIAMANTE
-6.6032239,-35.627146,DONA INES
-6.6883382,-35.4175255,DUAS ESTRADAS
-7.1071447,-37.7155578,EMAS
-7.018517,-35.852193,ESPERANCA
-7.3577473,-35.7839735,FAGUNDES
-6.4033643,-36.4535139,FREI MARTINHO
-7.5830516,-35.7914371,GADO BRAVO
-6.8513982,-35.4915582,GUARABIRA
-7.1244757,-35.424854,GURINHEM
-7.2470565,-36.4862714,GURJAO
-7.4997862,-38.4034987,IBIARA
-7.1819802,-38.1487395,IGARACY
-7.3871724,-37.5116814,IMACULADA
-7.2904513,-35.6109945,INGA
-7.331674,-35.331723,ITABAIANA
-7.3040747,-38.1505782,ITAPORANGA
-6.8283007,-35.244782,ITAPOROROCA
-7.3758509,-35.626495,ITATUBA
-6.6123046,-35.2919016,JACARAU
-6.5531817,-37.8078194,JERICO
-7.1215981,-34.882028,JOAO PESSOA
-7.1726926,-35.590804,JUAREZ TAVORA
-7.0688282,-36.5803059,JUAZEIRINHO
-6.9922083,-36.7143267,JUNCO DO SERIDO
-7.3743307,-35.2396,JURIPIRANGA
-7.5375089,-37.8192275,JURU
-6.5899848,-37.9149013,LAGOA
-6.6728806,-35.3782276,LAGOA DE DENTRO
-7.157099,-35.8542023,LAGOA SECA
-6.5168423,-38.1786407,LASTRO
-7.3757441,-36.9449444,LIVRAMENTO
-6.6147883,-35.4431686,LOGRADOURO
-6.8984018,-34.8711915,LUCENA
-7.2582944,-37.4269768,MAE D'AGUA
-6.9068159,-37.5217101,MALTA
-6.833698,-35.121316,MAMANGUAPE
-7.7060905,-38.1531251,MANAIRA
-6.7704107,-35.0121479,MARCACAO
-7.0580611,-35.3184163,MARI
-6.8440704,-38.3473088,MARIZOPOLIS
-7.1812758,-35.7330712,MASSARANDUBA
-6.59673,-35.05308,MATARACA
-7.1219554,-35.7713426,MATINHAS
-6.5433859,-37.7146519,MATO GROSSO
-7.264629,-37.3383363,MATUREIA
-7.3019003,-35.4782749,MOGEIRO
-7.088656,-35.9577367,MONTADAS
-7.214284,-38.5857578,MONTE HOREBE
-7.8920179,-37.1232051,MONTEIRO
-7.0309389,-35.4646079,MULUNGU
-7.6410756,-35.5542731,NATUBA
-6.9156749,-38.3251082,NAZAREZINHO
-6.4554313,-36.2040005,NOVA FLORESTA
-7.4782417,-38.0404379,NOVA OLINDA
-6.6795042,-36.4187275,NOVA PALMEIRA
-7.2289861,-37.7490068,OLHO D'AGUA
-6.991036,-36.2437286,OLIVEDOS
-7.6209094,-37.1510175,OURO VELHO
-7.3182642,-36.6556211,PARARI
-7.1122276,-37.04242349,PASSAGEM
-7.0258285,-37.2766817,PATOS
